ParticipantID,Condition,Content,QuestionID,Heatmap,Contour,TimeWeighted,FixationMap,Scanpath
P10,overview,v1,Q4,,,timeweighted_P10_v1_Q4.png,,scanpath_P10_v1_Q4.png
P10,overview,v1,Q5,,,timeweighted_P10_v1_Q5.png,,scanpath_P10_v1_Q5.png
P10,overview,v1,Q6,,,timeweighted_P10_v1_Q6.png,,scanpath_P10_v1_Q6.png
P10,overview,v1,Q7,,,timeweighted_P10_v1_Q7.png,,scanpath_P10_v1_Q7.png
P10,overview,v1,Q8,,,timeweighted_P10_v1_Q8.png,,scanpath_P10_v1_Q8.png
P10,overview,v1,Q9,,,timeweighted_P10_v1_Q9.png,,scanpath_P10_v1_Q9.png
P11,minimap,v0,Q1,,,timeweighted_P11_v0_Q1.png,,scanpath_P11_v0_Q1.png
P11,minimap,v0,Q10,,,timeweighted_P11_v0_Q10.png,,scanpath_P11_v0_Q10.png
P11,minimap,v0,Q11,,,timeweighted_P11_v0_Q11.png,,scanpath_P11_v0_Q11.png
P11,minimap,v0,Q12,,,timeweighted_P11_v0_Q12.png,,scanpath_P11_v0_Q12.png
P11,minimap,v0,Q2,,,timeweighted_P11_v0_Q2.png,,scanpath_P11_v0_Q2.png
P11,minimap,v0,Q3,,,timeweighted_P11_v0_Q3.png,,scanpath_P11_v0_Q3.png
P11,minimap,v0,Q4,,,timeweighted_P11_v0_Q4.png,,scanpath_P11_v0_Q4.png
P11,minimap,v0,Q5,,,timeweighted_P11_v0_Q5.png,,scanpath_P11_v0_Q5.png
P11,minimap,v0,Q6,,,timeweighted_P11_v0_Q6.png,,scanpath_P11_v0_Q6.png
P11,minimap,v0,Q7,,,timeweighted_P11_v0_Q7.png,,scanpath_P11_v0_Q7.png
P11,minimap,v0,Q8,,,timeweighted_P11_v0_Q8.png,,scanpath_P11_v0_Q8.png
P11,minimap,v0,Q9,,,timeweighted_P11_v0_Q9.png,,scanpath_P11_v0_Q9.png
P11,none,v1,Q1,,,timeweighted_P11_v1_Q1.png,,scanpath_P11_v1_Q1.png
P11,none,v1,Q10,,,timeweighted_P11_v1_Q10.png,,scanpath_P11_v1_Q10.png
P11,none,v1,Q11,,,timeweighted_P11_v1_Q11.png,,scanpath_P11_v1_Q11.png
P11,none,v1,Q12,,,timeweighted_P11_v1_Q12.png,,scanpath_P11_v1_Q12.png
P11,none,v1,Q2,,,timeweighted_P11_v1_Q2.png,,scanpath_P11_v1_Q2.png
P11,none,v1,Q3,,,timeweighted_P11_v1_Q3.png,,scanpath_P11_v1_Q3.png
P11,none,v1,Q4,,,timeweighted_P11_v1_Q4.png,,scanpath_P11_v1_Q4.png
P11,none,v1,Q5,,,timeweighted_P11_v1_Q5.png,,scanpath_P11_v1_Q5.png
P11,none,v1,Q6,,,timeweighted_P11_v1_Q6.png,,scanpath_P11_v1_Q6.png
P11,none,v1,Q7,,,timeweighted_P11_v1_Q7.png,,scanpath_P11_v1_Q7.png
P11,none,v1,Q8,,,timeweighted_P11_v1_Q8.png,,scanpath_P11_v1_Q8.png
P11,none,v1,Q9,,,timeweighted_P11_v1_Q9.png,,scanpath_P11_v1_Q9.png
P11,overview,v2,Q1,,,timeweighted_P11_v2_Q1.png,,scanpath_P11_v2_Q1.png
P11,overview,v2,Q10,,,timeweighted_P11_v2_Q10.png,,scanpath_P11_v2_Q10.png
P11,overview,v2,Q11,,,timeweighted_P11_v2_Q11.png,,scanpath_P11_v2_Q11.png
P11,overview,v2,Q12,,,timeweighted_P11_v2_Q12.png,,scanpath_P11_v2_Q12.png
P11,overview,v2,Q2,,,timeweighted_P11_v2_Q2.png,,scanpath_P11_v2_Q2.png
P11,overview,v2,Q3,,,timeweighted_P11_v2_Q3.png,,scanpath_P11_v2_Q3.png
P11,overview,v2,Q4,,,timeweighted_P11_v2_Q4.png,,scanpath_P11_v2_Q4.png
P11,overview,v2,Q5,,,timeweighted_P11_v2_Q5.png,,scanpath_P11_v2_Q5.png
P11,overview,v2,Q6,,,timeweighted_P11_v2_Q6.png,,scanpath_P11_v2_Q6.png
P11,overview,v2,Q7,,,timeweighted_P11_v2_Q7.png,,scanpath_P11_v2_Q7.png
P11,overview,v2,Q8,,,timeweighted_P11_v2_Q8.png,,scanpath_P11_v2_Q8.png
P11,overview,v2,Q9,,,timeweighted_P11_v2_Q9.png,,scanpath_P11_v2_Q9.png
P12,minimap,v1,Q1,,,timeweighted_P12_v1_Q1.png,,scanpath_P12_v1_Q1.png
P12,minimap,v1,Q10,,,timeweighted_P12_v1_Q10.png,,scanpath_P12_v1_Q10.png
P12,minimap,v1,Q11,,,timeweighted_P12_v1_Q11.png,,scanpath_P12_v1_Q11.png
P12,minimap,v1,Q12,,,timeweighted_P12_v1_Q12.png,,scanpath_P12_v1_Q12.png
P12,minimap,v1,Q2,,,timeweighted_P12_v1_Q2.png,,scanpath_P12_v1_Q2.png
P12,minimap,v1,Q3,,,timeweighted_P12_v1_Q3.png,,scanpath_P12_v1_Q3.png
P12,minimap,v1,Q4,,,timeweighted_P12_v1_Q4.png,,scanpath_P12_v1_Q4.png
P12,minimap,v1,Q5,,,timeweighted_P12_v1_Q5.png,,scanpath_P12_v1_Q5.png
P12,minimap,v1,Q6,,,timeweighted_P12_v1_Q6.png,,scanpath_P12_v1_Q6.png
P12,minimap,v1,Q7,,,timeweighted_P12_v1_Q7.png,,scanpath_P12_v1_Q7.png
P12,minimap,v1,Q8,,,timeweighted_P12_v1_Q8.png,,scanpath_P12_v1_Q8.png
P12,minimap,v1,Q9,,,timeweighted_P12_v1_Q9.png,,scanpath_P12_v1_Q9.png
P12,none,v2,Q10,,,timeweighted_P12_v2_Q10.png,,scanpath_P12_v2_Q10.png
P12,none,v2,Q11,,,timeweighted_P12_v2_Q11.png,,scanpath_P12_v2_Q11.png
P12,none,v2,Q12,,,timeweighted_P12_v2_Q12.png,,scanpath_P12_v2_Q12.png
P12,none,v2,Q2,,,timeweighted_P12_v2_Q2.png,,scanpath_P12_v2_Q2.png
P12,none,v2,Q3,,,timeweighted_P12_v2_Q3.png,,scanpath_P12_v2_Q3.png
P12,none,v2,Q4,,,timeweighted_P12_v2_Q4.png,,scanpath_P12_v2_Q4.png
P12,none,v2,Q6,,,timeweighted_P12_v2_Q6.png,,scanpath_P12_v2_Q6.png
P12,none,v2,Q7,,,timeweighted_P12_v2_Q7.png,,scanpath_P12_v2_Q7.png
P12,none,v2,Q8,,,timeweighted_P12_v2_Q8.png,,scanpath_P12_v2_Q8.png
P12,none,v2,Q9,,,timeweighted_P12_v2_Q9.png,,scanpath_P12_v2_Q9.png
P12,overview,v0,Q1,,,timeweighted_P12_v0_Q1.png,,scanpath_P12_v0_Q1.png
P12,overview,v0,Q10,,,timeweighted_P12_v0_Q10.png,,scanpath_P12_v0_Q10.png
P12,overview,v0,Q11,,,timeweighted_P12_v0_Q11.png,,scanpath_P12_v0_Q11.png
P12,overview,v0,Q12,,,timeweighted_P12_v0_Q12.png,,scanpath_P12_v0_Q12.png
P12,overview,v0,Q2,,,timeweighted_P12_v0_Q2.png,,scanpath_P12_v0_Q2.png
P12,overview,v0,Q3,,,timeweighted_P12_v0_Q3.png,,scanpath_P12_v0_Q3.png
P12,overview,v0,Q4,,,timeweighted_P12_v0_Q4.png,,scanpath_P12_v0_Q4.png
P12,overview,v0,Q5,,,timeweighted_P12_v0_Q5.png,,scanpath_P12_v0_Q5.png
P12,overview,v0,Q6,,,timeweighted_P12_v0_Q6.png,,scanpath_P12_v0_Q6.png
P12,overview,v0,Q7,,,timeweighted_P12_v0_Q7.png,,scanpath_P12_v0_Q7.png
P12,overview,v0,Q8,,,timeweighted_P12_v0_Q8.png,,scanpath_P12_v0_Q8.png
P12,overview,v0,Q9,,,timeweighted_P12_v0_Q9.png,,scanpath_P12_v0_Q9.png
P13,minimap,v2,Q1,,,timeweighted_P13_v2_Q1.png,,scanpath_P13_v2_Q1.png
P13,minimap,v2,Q10,,,timeweighted_P13_v2_Q10.png,,scanpath_P13_v2_Q10.png
P13,minimap,v2,Q11,,,timeweighted_P13_v2_Q11.png,,scanpath_P13_v2_Q11.png
P13,minimap,v2,Q12,,,timeweighted_P13_v2_Q12.png,,scanpath_P13_v2_Q12.png
P13,minimap,v2,Q2,,,timeweighted_P13_v2_Q2.png,,scanpath_P13_v2_Q2.png
P13,minimap,v2,Q3,,,timeweighted_P13_v2_Q3.png,,scanpath_P13_v2_Q3.png
P13,minimap,v2,Q4,,,timeweighted_P13_v2_Q4.png,,scanpath_P13_v2_Q4.png
P13,minimap,v2,Q5,,,timeweighted_P13_v2_Q5.png,,scanpath_P13_v2_Q5.png
P13,minimap,v2,Q6,,,timeweighted_P13_v2_Q6.png,,scanpath_P13_v2_Q6.png
P13,minimap,v2,Q7,,,timeweighted_P13_v2_Q7.png,,scanpath_P13_v2_Q7.png
P13,minimap,v2,Q8,,,timeweighted_P13_v2_Q8.png,,scanpath_P13_v2_Q8.png
P13,minimap,v2,Q9,,,timeweighted_P13_v2_Q9.png,,scanpath_P13_v2_Q9.png
P13,none,v0,Q1,,,timeweighted_P13_v0_Q1.png,,scanpath_P13_v0_Q1.png
P13,none,v0,Q10,,,timeweighted_P13_v0_Q10.png,,scanpath_P13_v0_Q10.png
P13,none,v0,Q11,,,timeweighted_P13_v0_Q11.png,,scanpath_P13_v0_Q11.png
P13,none,v0,Q12,,,timeweighted_P13_v0_Q12.png,,scanpath_P13_v0_Q12.png
P13,none,v0,Q2,,,timeweighted_P13_v0_Q2.png,,scanpath_P13_v0_Q2.png
P13,none,v0,Q3,,,timeweighted_P13_v0_Q3.png,,scanpath_P13_v0_Q3.png
P13,none,v0,Q4,,,timeweighted_P13_v0_Q4.png,,scanpath_P13_v0_Q4.png
P13,none,v0,Q5,,,timeweighted_P13_v0_Q5.png,,scanpath_P13_v0_Q5.png
P13,none,v0,Q6,,,timeweighted_P13_v0_Q6.png,,scanpath_P13_v0_Q6.png
P13,none,v0,Q7,,,timeweighted_P13_v0_Q7.png,,scanpath_P13_v0_Q7.png
P13,none,v0,Q8,,,timeweighted_P13_v0_Q8.png,,scanpath_P13_v0_Q8.png
P13,none,v0,Q9,,,timeweighted_P13_v0_Q9.png,,scanpath_P13_v0_Q9.png
P13,overview,v1,Q1,,,timeweighted_P13_v1_Q1.png,,scanpath_P13_v1_Q1.png
P13,overview,v1,Q10,,,timeweighted_P13_v1_Q10.png,,scanpath_P13_v1_Q10.png
P13,overview,v1,Q11,,,timeweighted_P13_v1_Q11.png,,scanpath_P13_v1_Q11.png
P13,overview,v1,Q12,,,timeweighted_P13_v1_Q12.png,,scanpath_P13_v1_Q12.png
P13,overview,v1,Q2,,,timeweighted_P13_v1_Q2.png,,scanpath_P13_v1_Q2.png
P13,overview,v1,Q3,,,timeweighted_P13_v1_Q3.png,,scanpath_P13_v1_Q3.png
P13,overview,v1,Q4,,,timeweighted_P13_v1_Q4.png,,scanpath_P13_v1_Q4.png
P13,overview,v1,Q5,,,timeweighted_P13_v1_Q5.png,,scanpath_P13_v1_Q5.png
P13,overview,v1,Q6,,,timeweighted_P13_v1_Q6.png,,scanpath_P13_v1_Q6.png
P13,overview,v1,Q7,,,timeweighted_P13_v1_Q7.png,,scanpath_P13_v1_Q7.png
P13,overview,v1,Q8,,,timeweighted_P13_v1_Q8.png,,scanpath_P13_v1_Q8.png
P13,overview,v1,Q9,,,timeweighted_P13_v1_Q9.png,,scanpath_P13_v1_Q9.png
P14,minimap,v1,Q1,,,timeweighted_P14_v1_Q1.png,,scanpath_P14_v1_Q1.png
P14,minimap,v1,Q10,,,timeweighted_P14_v1_Q10.png,,scanpath_P14_v1_Q10.png
P14,minimap,v1,Q11,,,timeweighted_P14_v1_Q11.png,,scanpath_P14_v1_Q11.png
P14,minimap,v1,Q12,,,timeweighted_P14_v1_Q12.png,,scanpath_P14_v1_Q12.png
P14,minimap,v1,Q2,,,timeweighted_P14_v1_Q2.png,,scanpath_P14_v1_Q2.png
P14,minimap,v1,Q3,,,timeweighted_P14_v1_Q3.png,,scanpath_P14_v1_Q3.png
P14,minimap,v1,Q4,,,timeweighted_P14_v1_Q4.png,,scanpath_P14_v1_Q4.png
P14,minimap,v1,Q5,,,timeweighted_P14_v1_Q5.png,,scanpath_P14_v1_Q5.png
P14,minimap,v1,Q6,,,timeweighted_P14_v1_Q6.png,,scanpath_P14_v1_Q6.png
P14,minimap,v1,Q7,,,timeweighted_P14_v1_Q7.png,,scanpath_P14_v1_Q7.png
P14,minimap,v1,Q8,,,timeweighted_P14_v1_Q8.png,,scanpath_P14_v1_Q8.png
P14,minimap,v1,Q9,,,timeweighted_P14_v1_Q9.png,,scanpath_P14_v1_Q9.png
P14,none,v2,Q1,,,timeweighted_P14_v2_Q1.png,,scanpath_P14_v2_Q1.png
P14,none,v2,Q10,,,timeweighted_P14_v2_Q10.png,,scanpath_P14_v2_Q10.png
P14,none,v2,Q11,,,timeweighted_P14_v2_Q11.png,,scanpath_P14_v2_Q11.png
P14,none,v2,Q12,,,timeweighted_P14_v2_Q12.png,,scanpath_P14_v2_Q12.png
P14,none,v2,Q2,,,timeweighted_P14_v2_Q2.png,,scanpath_P14_v2_Q2.png
P14,none,v2,Q3,,,timeweighted_P14_v2_Q3.png,,scanpath_P14_v2_Q3.png
P14,none,v2,Q4,,,timeweighted_P14_v2_Q4.png,,scanpath_P14_v2_Q4.png
P14,none,v2,Q5,,,timeweighted_P14_v2_Q5.png,,scanpath_P14_v2_Q5.png
P14,none,v2,Q6,,,timeweighted_P14_v2_Q6.png,,scanpath_P14_v2_Q6.png
P14,none,v2,Q7,,,timeweighted_P14_v2_Q7.png,,scanpath_P14_v2_Q7.png
P14,none,v2,Q8,,,timeweighted_P14_v2_Q8.png,,scanpath_P14_v2_Q8.png
P14,none,v2,Q9,,,timeweighted_P14_v2_Q9.png,,scanpath_P14_v2_Q9.png
P14,overview,v0,Q1,,,timeweighted_P14_v0_Q1.png,,scanpath_P14_v0_Q1.png
P14,overview,v0,Q10,,,timeweighted_P14_v0_Q10.png,,scanpath_P14_v0_Q10.png
P14,overview,v0,Q11,,,timeweighted_P14_v0_Q11.png,,scanpath_P14_v0_Q11.png
P14,overview,v0,Q12,,,timeweighted_P14_v0_Q12.png,,scanpath_P14_v0_Q12.png
P14,overview,v0,Q2,,,timeweighted_P14_v0_Q2.png,,scanpath_P14_v0_Q2.png
P14,overview,v0,Q3,,,timeweighted_P14_v0_Q3.png,,scanpath_P14_v0_Q3.png
P14,overview,v0,Q4,,,timeweighted_P14_v0_Q4.png,,scanpath_P14_v0_Q4.png
P14,overview,v0,Q5,,,timeweighted_P14_v0_Q5.png,,scanpath_P14_v0_Q5.png
P14,overview,v0,Q6,,,timeweighted_P14_v0_Q6.png,,scanpath_P14_v0_Q6.png
P14,overview,v0,Q7,,,timeweighted_P14_v0_Q7.png,,scanpath_P14_v0_Q7.png
P14,overview,v0,Q8,,,timeweighted_P14_v0_Q8.png,,scanpath_P14_v0_Q8.png
P14,overview,v0,Q9,,,timeweighted_P14_v0_Q9.png,,scanpath_P14_v0_Q9.png
P15,minimap,v0,Q1,,,timeweighted_P15_v0_Q1.png,,scanpath_P15_v0_Q1.png
P15,minimap,v0,Q10,,,timeweighted_P15_v0_Q10.png,,scanpath_P15_v0_Q10.png
P15,minimap,v0,Q11,,,timeweighted_P15_v0_Q11.png,,scanpath_P15_v0_Q11.png
P15,minimap,v0,Q12,,,timeweighted_P15_v0_Q12.png,,scanpath_P15_v0_Q12.png
P15,minimap,v0,Q2,,,timeweighted_P15_v0_Q2.png,,scanpath_P15_v0_Q2.png
P15,minimap,v0,Q3,,,timeweighted_P15_v0_Q3.png,,scanpath_P15_v0_Q3.png
P15,minimap,v0,Q4,,,timeweighted_P15_v0_Q4.png,,scanpath_P15_v0_Q4.png
P15,minimap,v0,Q5,,,timeweighted_P15_v0_Q5.png,,scanpath_P15_v0_Q5.png
P15,minimap,v0,Q6,,,timeweighted_P15_v0_Q6.png,,scanpath_P15_v0_Q6.png
P15,minimap,v0,Q7,,,timeweighted_P15_v0_Q7.png,,scanpath_P15_v0_Q7.png
P15,minimap,v0,Q8,,,timeweighted_P15_v0_Q8.png,,scanpath_P15_v0_Q8.png
P15,minimap,v0,Q9,,,timeweighted_P15_v0_Q9.png,,scanpath_P15_v0_Q9.png
P15,none,v1,Q10,,,timeweighted_P15_v1_Q10.png,,scanpath_P15_v1_Q10.png
P15,none,v1,Q11,,,timeweighted_P15_v1_Q11.png,,scanpath_P15_v1_Q11.png
P15,none,v1,Q12,,,timeweighted_P15_v1_Q12.png,,scanpath_P15_v1_Q12.png
P15,none,v1,Q2,,,timeweighted_P15_v1_Q2.png,,scanpath_P15_v1_Q2.png
P15,none,v1,Q3,,,timeweighted_P15_v1_Q3.png,,scanpath_P15_v1_Q3.png
P15,none,v1,Q4,,,timeweighted_P15_v1_Q4.png,,scanpath_P15_v1_Q4.png
P15,none,v1,Q6,,,timeweighted_P15_v1_Q6.png,,scanpath_P15_v1_Q6.png
P15,none,v1,Q7,,,timeweighted_P15_v1_Q7.png,,scanpath_P15_v1_Q7.png
P15,none,v1,Q8,,,timeweighted_P15_v1_Q8.png,,scanpath_P15_v1_Q8.png
P15,none,v1,Q9,,,timeweighted_P15_v1_Q9.png,,scanpath_P15_v1_Q9.png
P15,overview,v2,Q1,,,timeweighted_P15_v2_Q1.png,,scanpath_P15_v2_Q1.png
P15,overview,v2,Q10,,,timeweighted_P15_v2_Q10.png,,scanpath_P15_v2_Q10.png
P15,overview,v2,Q11,,,timeweighted_P15_v2_Q11.png,,scanpath_P15_v2_Q11.png
P15,overview,v2,Q12,,,timeweighted_P15_v2_Q12.png,,scanpath_P15_v2_Q12.png
P15,overview,v2,Q2,,,timeweighted_P15_v2_Q2.png,,scanpath_P15_v2_Q2.png
P15,overview,v2,Q3,,,timeweighted_P15_v2_Q3.png,,scanpath_P15_v2_Q3.png
P15,overview,v2,Q4,,,timeweighted_P15_v2_Q4.png,,scanpath_P15_v2_Q4.png
P15,overview,v2,Q5,,,timeweighted_P15_v2_Q5.png,,scanpath_P15_v2_Q5.png
P15,overview,v2,Q6,,,timeweighted_P15_v2_Q6.png,,scanpath_P15_v2_Q6.png
P15,overview,v2,Q7,,,timeweighted_P15_v2_Q7.png,,scanpath_P15_v2_Q7.png
P15,overview,v2,Q8,,,timeweighted_P15_v2_Q8.png,,scanpath_P15_v2_Q8.png
P15,overview,v2,Q9,,,timeweighted_P15_v2_Q9.png,,scanpath_P15_v2_Q9.png
P16,minimap,v2,Q1,,,timeweighted_P16_v2_Q1.png,,scanpath_P16_v2_Q1.png
P16,minimap,v2,Q10,,,timeweighted_P16_v2_Q10.png,,scanpath_P16_v2_Q10.png
P16,minimap,v2,Q11,,,timeweighted_P16_v2_Q11.png,,scanpath_P16_v2_Q11.png
P16,minimap,v2,Q12,,,timeweighted_P16_v2_Q12.png,,scanpath_P16_v2_Q12.png
P16,minimap,v2,Q2,,,timeweighted_P16_v2_Q2.png,,scanpath_P16_v2_Q2.png
P16,minimap,v2,Q3,,,timeweighted_P16_v2_Q3.png,,scanpath_P16_v2_Q3.png
P16,minimap,v2,Q4,,,timeweighted_P16_v2_Q4.png,,scanpath_P16_v2_Q4.png
P16,minimap,v2,Q5,,,timeweighted_P16_v2_Q5.png,,scanpath_P16_v2_Q5.png
P16,minimap,v2,Q6,,,timeweighted_P16_v2_Q6.png,,scanpath_P16_v2_Q6.png
P16,minimap,v2,Q7,,,timeweighted_P16_v2_Q7.png,,scanpath_P16_v2_Q7.png
P16,minimap,v2,Q8,,,timeweighted_P16_v2_Q8.png,,scanpath_P16_v2_Q8.png
P16,minimap,v2,Q9,,,timeweighted_P16_v2_Q9.png,,scanpath_P16_v2_Q9.png
P16,none,v0,Q1,,,timeweighted_P16_v0_Q1.png,,scanpath_P16_v0_Q1.png
P16,none,v0,Q10,,,timeweighted_P16_v0_Q10.png,,scanpath_P16_v0_Q10.png
P16,none,v0,Q11,,,timeweighted_P16_v0_Q11.png,,scanpath_P16_v0_Q11.png
P16,none,v0,Q12,,,timeweighted_P16_v0_Q12.png,,scanpath_P16_v0_Q12.png
P16,none,v0,Q2,,,timeweighted_P16_v0_Q2.png,,scanpath_P16_v0_Q2.png
P16,none,v0,Q3,,,timeweighted_P16_v0_Q3.png,,scanpath_P16_v0_Q3.png
P16,none,v0,Q4,,,timeweighted_P16_v0_Q4.png,,scanpath_P16_v0_Q4.png
P16,none,v0,Q5,,,timeweighted_P16_v0_Q5.png,,scanpath_P16_v0_Q5.png
P16,none,v0,Q6,,,timeweighted_P16_v0_Q6.png,,scanpath_P16_v0_Q6.png
P16,none,v0,Q7,,,timeweighted_P16_v0_Q7.png,,scanpath_P16_v0_Q7.png
P16,none,v0,Q8,,,timeweighted_P16_v0_Q8.png,,scanpath_P16_v0_Q8.png
P16,none,v0,Q9,,,timeweighted_P16_v0_Q9.png,,scanpath_P16_v0_Q9.png
P16,overview,v1,Q1,,,timeweighted_P16_v1_Q1.png,,scanpath_P16_v1_Q1.png
P16,overview,v1,Q10,,,timeweighted_P16_v1_Q10.png,,scanpath_P16_v1_Q10.png
P16,overview,v1,Q11,,,timeweighted_P16_v1_Q11.png,,scanpath_P16_v1_Q11.png
P16,overview,v1,Q12,,,timeweighted_P16_v1_Q12.png,,scanpath_P16_v1_Q12.png
P16,overview,v1,Q2,,,timeweighted_P16_v1_Q2.png,,scanpath_P16_v1_Q2.png
P16,overview,v1,Q3,,,timeweighted_P16_v1_Q3.png,,scanpath_P16_v1_Q3.png
P16,overview,v1,Q4,,,timeweighted_P16_v1_Q4.png,,scanpath_P16_v1_Q4.png
P16,overview,v1,Q5,,,timeweighted_P16_v1_Q5.png,,scanpath_P16_v1_Q5.png
P16,overview,v1,Q6,,,timeweighted_P16_v1_Q6.png,,scanpath_P16_v1_Q6.png
P16,overview,v1,Q7,,,timeweighted_P16_v1_Q7.png,,scanpath_P16_v1_Q7.png
P16,overview,v1,Q8,,,timeweighted_P16_v1_Q8.png,,scanpath_P16_v1_Q8.png
P16,overview,v1,Q9,,,timeweighted_P16_v1_Q9.png,,scanpath_P16_v1_Q9.png
P17,minimap,v0,Q1,,,timeweighted_P17_v0_Q1.png,,scanpath_P17_v0_Q1.png
